Time,Quadrant Number,Ball Colour,Type
0.0,2,Red,Entry
0.0,2,Blue,Entry
0.0,2,White,Entry
0.0332851712221175,"(1760, 10, 2)",Red,Exit
0.0332851712221175,2,Red,Entry
0.0332851712221175,"(1514, 278, 2)",Blue,Exit
0.0332851712221175,2,Blue,Entry
0.0332851712221175,"(1317, 42, 2)",White,Exit
0.0332851712221175,2,White,Entry
0.066570342444235,"(1758, 12, 2)",Red,Exit
0.066570342444235,2,Red,Entry
0.066570342444235,"(1514, 278, 2)",Blue,Exit
0.066570342444235,2,Blue,Entry
0.066570342444235,"(1789, 27, 2)",White,Exit
0.066570342444235,2,White,Entry
0.066570342444235,1,Peach,Entry
0.09985551366635251,"(1191, 3, 2)",Red,Exit
0.09985551366635251,2,Red,Entry
0.09985551366635251,"(1514, 278, 2)",Blue,Exit
0.09985551366635251,2,Blue,Entry
0.09985551366635251,"(1315, 33, 2)",White,Exit
0.09985551366635251,2,White,Entry
0.13314068488847,"(1689, 9, 2)",Red,Exit
0.13314068488847,2,Red,Entry
0.13314068488847,"(1514, 278, 2)",Blue,Exit
0.13314068488847,2,Blue,Entry
0.13314068488847,"(1794, 36, 2)",White,Exit
0.13314068488847,2,White,Entry
0.1664258561105875,"(1776, 9, 2)",Red,Exit
0.1664258561105875,2,Red,Entry
0.1664258561105875,"(1514, 278, 2)",Blue,Exit
0.1664258561105875,2,Blue,Entry
0.1664258561105875,"(1787, 26, 2)",White,Exit
0.1664258561105875,2,White,Entry
0.19971102733270502,"(1768, 19, 2)",Red,Exit
0.19971102733270502,2,Red,Entry
0.19971102733270502,"(1514, 278, 2)",Blue,Exit
0.19971102733270502,2,Blue,Entry
0.19971102733270502,"(1310, 43, 2)",White,Exit
0.19971102733270502,2,White,Entry
0.2329961985548225,"(1313, 3, 2)",Red,Exit
0.2329961985548225,1,Red,Entry
0.2329961985548225,"(1514, 278, 2)",Blue,Exit
0.2329961985548225,2,Blue,Entry
0.2329961985548225,"(1787, 26, 2)",White,Exit
0.2329961985548225,2,White,Entry
0.2329961985548225,"(757, 223, 1)",Peach,Exit
0.2329961985548225,1,Peach,Entry
0.26628136977694,"(819, 4, 1)",Red,Exit
0.26628136977694,1,Red,Entry
0.26628136977694,"(1514, 278, 2)",Blue,Exit
0.26628136977694,2,Blue,Entry
0.26628136977694,"(1802, 30, 2)",White,Exit
0.26628136977694,2,White,Entry
0.26628136977694,"(757, 269, 1)",Peach,Exit
0.26628136977694,1,Peach,Entry
0.2995665409990575,"(819, 4, 1)",Red,Exit
0.2995665409990575,1,Red,Entry
0.2995665409990575,"(1514, 278, 2)",Blue,Exit
0.2995665409990575,2,Blue,Entry
0.2995665409990575,"(1800, 113, 2)",White,Exit
0.2995665409990575,2,White,Entry
0.2995665409990575,"(757, 223, 1)",Peach,Exit
0.2995665409990575,1,Peach,Entry
0.332851712221175,"(812, 3, 1)",Red,Exit
0.332851712221175,1,Red,Entry
0.332851712221175,"(1514, 278, 2)",Blue,Exit
0.332851712221175,2,Blue,Entry
0.332851712221175,"(1801, 80, 2)",White,Exit
0.332851712221175,2,White,Entry
0.332851712221175,"(757, 223, 1)",Peach,Exit
0.332851712221175,1,Peach,Entry
0.36613688344329254,"(814, 3, 1)",Red,Exit
0.36613688344329254,2,Red,Entry
0.36613688344329254,"(1514, 278, 2)",Blue,Exit
0.36613688344329254,2,Blue,Entry
0.36613688344329254,"(1799, 110, 2)",White,Exit
0.36613688344329254,2,White,Entry
0.39942205466541003,"(1248, 4, 2)",Red,Exit
0.39942205466541003,2,Red,Entry
0.39942205466541003,"(1514, 278, 2)",Blue,Exit
0.39942205466541003,2,Blue,Entry
0.39942205466541003,"(1793, 25, 2)",White,Exit
0.39942205466541003,2,White,Entry
0.39942205466541003,"(757, 223, 1)",Peach,Exit
0.39942205466541003,1,Peach,Entry
0.4327072258875275,"(1160, 2, 2)",Red,Exit
0.4327072258875275,2,Red,Entry
0.4327072258875275,"(1514, 278, 2)",Blue,Exit
0.4327072258875275,2,Blue,Entry
0.4327072258875275,"(1799, 112, 2)",White,Exit
0.4327072258875275,2,White,Entry
0.4327072258875275,"(757, 266, 1)",Peach,Exit
0.4327072258875275,1,Peach,Entry
0.465992397109645,"(1256, 4, 2)",Red,Exit
0.465992397109645,2,Red,Entry
0.465992397109645,"(1514, 279, 2)",Blue,Exit
0.465992397109645,2,Blue,Entry
0.465992397109645,"(1801, 73, 2)",White,Exit
0.465992397109645,2,White,Entry
0.465992397109645,"(757, 269, 1)",Peach,Exit
0.465992397109645,1,Peach,Entry
0.4992775683317625,"(1761, 9, 2)",Red,Exit
0.4992775683317625,2,Red,Entry
0.4992775683317625,"(1514, 278, 2)",Blue,Exit
0.4992775683317625,2,Blue,Entry
0.4992775683317625,"(1793, 26, 2)",White,Exit
0.4992775683317625,2,White,Entry
0.53256273955388,"(1172, 2, 2)",Red,Exit
0.53256273955388,2,Red,Entry
